timestamps,ppg_1,ppg_2,ppg_3,ppg_corrected,average_distance,
1546626417,795384.625,184373696,156613408,0.795384625,0.01564002037,
1546626417,795384.625,184389824,156611792,0.795384625,0.01564002037,
1546626417,795384.625,184365648,156609376,0.795384625,0.01563000679,
1546626417,796996.3125,184371280,156638384,0.7969963125,0.01564002037,
1546626417,793772.875,184369664,156664976,0.793772875,0.01564002037,
1546626417,796996.3125,184420432,156659344,0.7969963125,0.01563978195,
1546626417,795384.625,184415600,156663376,0.795384625,0.01563000679,
1546626417,790549.4375,184407552,156634352,0.7905494375,0.01564002037,
1546626417,796190.5,184426080,156677872,0.7961905,0.01564002037,
1546626417,793772.875,184509088,156617440,0.793772875,0.01563000679,
1546626417,796190.5,184455088,156687552,0.7961905,0.01564002037,
1546626417,796190.5,184487328,156698016,0.7961905,0.01564002037,
1546626417,795384.625,184492160,156706080,0.795384625,0.01564002037,
1546626417,796190.5,184536480,156672240,0.7961905,0.01563000679,
1546626417,797802.1875,184540512,156676256,0.7978021875,0.01564002037,
1546626417,798608.0625,184518752,156695600,0.7986080625,0.01564002037,
1546626417,796996.3125,184532448,156675456,0.7969963125,0.01563000679,
1546626417,794578.75,184578384,156705280,0.79457875,0.01564002037,
1546626417,795384.625,184561472,156691568,0.795384625,0.01564002037,
1546626417,796190.5,184490544,156740736,0.7961905,0.01564002037,
1546626417,797802.1875,184509088,156671424,0.7978021875,0.01563000679,
1546626417,794578.75,184453472,156640000,0.79457875,0.01563978195,
1546626417,796190.5,184469600,156619856,0.7961905,0.01564002037,
1546626417,793772.875,184400288,156583584,0.793772875,0.01564002037,
