timestamps,eeg_1,eeg_2,eeg_3,eeg_4,ppg_1,ppg_2,ppg_3
1553360314.4973116,788.534790039,810.293029785,807.875488281,798.608032227,,,
1553360314.4994330,,,,,2403882.75,168146880.0,159923888.0
1553360314.5012105,813.113525391,811.501831055,815.128234863,843.333312988,,,
1553360314.5050333,,,,,,,
1553360314.5050333,,,,,,,
1553360314.5051095,851.79486084,809.084228516,815.53112793,880.805847168,,,
1553360314.5052598,,,,,,,
1553360314.5052810,,,,,,,
1553360314.5053070,,,,,,,
1553360314.5054235,,,,,,,
1553360314.5054848,,,,,,,
1553360314.5055254,,,,,,,
1553360314.5055563,,,,,,,
1553360314.5055890,,,,,,,
1553360314.5057123,,,,,,,
1553360314.5057480,,,,,,,
1553360314.5057740,,,,,,,
1553360314.5058045,,,,,,,
1553360314.5058970,,,,,,,
1553360314.5059438,,,,,,,
1553360314.5059626,,,,,,,
1553360314.5061264,,,,,,,
1553360314.5090084,840.512817383,807.069580078,805.860778809,846.153869629,,,
1553360314.5090299,,,,,,,
1553360314.5092912,,,,,,,
1553360314.5129073,794.981689453,801.831481934,799.010986328,801.831481934,,,
1553360314.5150323,,,,,2403077.0,168241984.0,159989152.0
1553360314.5168061,804.652038574,800.622680664,801.428588867,817.948730469,,,
1553360314.5207052,859.450561523,803.846130371,805.860778809,865.897460938,,,
1553360314.5246041,869.926757812,802.637390137,807.875488281,855.018310547,,,
1553360314.5285029,831.245422363,801.428588867,795.787536621,802.637390137,,,
1553360314.5286634,,,,,,,
1553360314.5289245,,,,,,,
1553360314.5306313,,,,,2403882.75,168185568.0,159912608.0
1553360314.5311623,,,,,,,
1553360314.5324018,830.439575195,807.069580078,794.175842285,803.040283203,,,
1553360314.5363009,886.84979248,810.695983887,801.025634766,859.450561523,,,
1553360314.5401998,909.41394043,808.278381348,798.20513916,877.985351562,,,
1553360314.5440986,873.956054688,806.26373291,805.054931641,829.633728027,,,
1553360314.5462306,,,,,2397436.0,168166224.0,159925488.0
1553360314.5479975,861.062255859,812.710632324,815.128234863,799.816833496,,,
1553360314.5482967,,,,,,,
1553360314.5485580,,,,,,,
1553360314.5518966,904.175842285,812.307678223,813.113525391,853.809509277,,,
1553360314.5557954,943.260070801,808.681335449,815.128234863,888.864440918,,,
1553360314.5596943,928.351623535,813.113525391,819.157531738,839.304016113,,,
1553360314.5618298,,,,,2395824.25,168092080.0,159899712.0
1553360314.5635931,887.655700684,812.710632324,813.113525391,803.040283203,,,
1553360314.5663311,,,,,,,
1553360314.5674922,903.772888184,813.113525391,805.860778809,834.065917969,,,
1553360314.5679302,,,,,,,
1553360314.5681915,,,,,,,
1553360314.5713911,946.483520508,813.919433594,805.457885742,876.776550293,,,
1553360314.5752900,925.128234863,815.128234863,808.681335449,853.809509277,,,
1553360314.5774291,,,,,2393406.5,168074352.0,159862640.0
1553360314.5791888,880.402954102,824.395629883,811.501831055,794.981689453,,,
1553360314.5830879,882.417602539,825.201477051,810.695983887,810.293029785,,,
1553360314.5869868,919.487182617,817.142883301,810.293029785,867.509155273,,,
1553360314.5875638,,,,,,,
1553360314.5878248,,,,,,,
1553360314.5908856,923.516479492,816.336975098,809.487182617,862.67401123,,,
1553360314.5930283,,,,,2398241.75,168038096.0,159925488.0
1553360314.5947845,886.043945312,821.172180176,807.069580078,805.457885742,,,
